Match Number,Round Number,Date,Location,Home Team,Away Team,Result
51,6,14/09/2026 20:15,Parque Desportivo Comendador Joaquim de Almeida Fr,Moreirense FC,Marítimo M.,
48,6,14/09/2026 20:45,Estádio Municipal de Braga,SC Braga,Estoril Praia,
58,7,19/09/2026 15:30,Estádio Cidade de Barcelos,Gil Vicente FC,Marítimo M.,
59,7,19/09/2026 15:30,Estádio da Madeira,CD Nacional,FC Famalicão,
55,7,19/09/2026 18:00,Estádio do FC Alverca,FC Alverca,Rio Ave FC,
62,7,19/09/2026 20:30,Estádio José Alvalade,Sporting CP,FC Arouca,
56,7,20/09/2026 15:30,Estádio José Gomes,Estrela Amadora,Académico,
63,7,20/09/2026 15:30,Estádio D. Afonso Henriques,Vitória SC,Moreirense FC,
57,7,20/09/2026 18:00,Estádio António Coimbra da Mota,Estoril Praia,Casa Pia AC,
61,7,20/09/2026 18:00,Estádio de São Miguel,Santa Clara,SC Braga,
60,7,20/09/2026 20:30,Estádio do Dragão,FC Porto,SL Benfica,
70,8,09/10/2026 18:45,Parque Desportivo Comendador Joaquim de Almeida Fr,Moreirense FC,Gil Vicente FC,
66,8,09/10/2026 20:15,Estádio Municipal de Braga,SC Braga,Sporting CP,
67,8,10/10/2026 15:30,Estádio Municipal de Rio Maior,Casa Pia AC,Santa Clara,
69,8,10/10/2026 18:00,Estádio do Marítimo,Marítimo M.,FC Porto,
64,8,10/10/2026 20:30,Estádio Municipal do Fontelo,Académico,Estoril Praia,
71,8,11/10/2026 15:30,Estádio do Rio Ave Futebol Clube,Rio Ave FC,CD Nacional,
72,8,11/10/2026 18:00,Estádio do Sport Lisboa e Benfica,SL Benfica,Vitória SC,
65,8,11/10/2026 20:30,Estádio Municipal de Arouca,FC Arouca,Estrela Amadora,
68,8,12/10/2026 20:15,Estádio Municipal de Famalicão,FC Famalicão,FC Alverca,
81,9,23/10/2026 20:45,Estádio D. Afonso Henriques,Vitória SC,Marítimo M.,
74,9,24/10/2026 15:30,Estádio José Gomes,Estrela Amadora,Casa Pia AC,
73,9,24/10/2026 18:00,Estádio do FC Alverca,FC Alverca,FC Arouca,
76,9,24/10/2026 20:30,Estádio Cidade de Barcelos,Gil Vicente FC,FC Porto,
75,9,25/10/2026 15:30,Estádio António Coimbra da Mota,Estoril Praia,Moreirense FC,
77,9,25/10/2026 18:00,Estádio da Madeira,CD Nacional,SC Braga,
78,9,25/10/2026 18:00,Estádio do Rio Ave Futebol Clube,Rio Ave FC,FC Famalicão,
80,9,25/10/2026 20:30,Estádio José Alvalade,Sporting CP,Académico,
79,9,26/10/2026 18:45,Estádio de São Miguel,Santa Clara,SL Benfica,
85,10,30/10/2026 20:15,Estádio Municipal de Rio Maior,Casa Pia AC,Sporting CP,
88,10,31/10/2026 15:30,Parque Desportivo Comendador Joaquim de Almeida Fr,Moreirense FC,Estrela Amadora,
89,10,31/10/2026 20:30,Estádio do Dragão,FC Porto,Estoril Praia,
83,10,01/11/2026 15:30,Estádio Municipal de Arouca,FC Arouca,CD Nacional,
82,10,01/11/2026 18:00,Estádio Municipal do Fontelo,Académico,Rio Ave FC,
87,10,01/11/2026 18:00,Estádio do Marítimo,Marítimo M.,Santa Clara,
84,10,01/11/2026 20:30,Estádio Municipal de Braga,SC Braga,FC Famalicão,
